Gene_ID	BHI1	BHI2	BHI3	Serum1	Serum2	Serum3
AENJPLPP_00001	226	207	204	137	121	153
AENJPLPP_00003	3165	3101	2778	1336	1612	1548
AENJPLPP_00004	865	814	675	308	428	323
AENJPLPP_00005	2763	2581	2538	2216	2561	2449
AENJPLPP_00006	1846	1701	1567	1911	2185	1995
AENJPLPP_00007	953	1048	1002	1101	1254	1130
AENJPLPP_00008	211	176	155	117	121	136
AENJPLPP_00009	135	167	171	92	83	91
AENJPLPP_00010	17751	18516	16882	23411	34751	25773
AENJPLPP_00011	3232	3117	2887	2006	2492	2132
AENJPLPP_00012	1348	1507	1351	1670	2040	1851
AENJPLPP_00013	1428	1408	1165	1801	2204	1979
AENJPLPP_00014	2223	1870	1873	2437	2855	2490
AENJPLPP_00015	9109	8907	7883	11993	14761	12881
AENJPLPP_00016	37908	43819	40096	35997	42803	38057
AENJPLPP_00017	14	3	14	6	2	11
AENJPLPP_00018	64	54	60	118	144	137
AENJPLPP_00019	2	0	0	5	8	3
AENJPLPP_00020	10	26	24	8	9	6
AENJPLPP_00021	26	35	32	59	98	63
AENJPLPP_00022	1304	1559	1617	13594	13946	12982
AENJPLPP_00023	16	36	36	29	28	26
AENJPLPP_00024	2233	2533	1891	16107	15676	13284
AENJPLPP_00025	4712	4647	4151	2019	2292	2131
AENJPLPP_00026	1302	1342	1379	1185	1452	1305
AENJPLPP_00027	8	7	6	8	9	16
AENJPLPP_00028	200	220	218	474	575	494
AENJPLPP_00029	333	366	296	907	1081	1005
AENJPLPP_00030	0	0	0	0	0	0
AENJPLPP_00031	24	32	18	46	27	41
AENJPLPP_00032	10440	10181	9451	21887	25927	22546
AENJPLPP_00034	979	1034	962	414	422	410
AENJPLPP_00035	3720	3988	3447	5822	5941	6003
AENJPLPP_00036	1806	2266	1906	1667	2028	1685
AENJPLPP_00037	453	481	422	429	436	442
AENJPLPP_00038	2158	2309	1945	1762	1827	1753
AENJPLPP_00039	488	534	528	3346	3532	2887
AENJPLPP_00040	916	922	798	2706	3211	3029
AENJPLPP_00041	849	659	579	2603	3044	3020
AENJPLPP_00042	31	43	36	145	218	183
AENJPLPP_00043	145	155	173	479	526	466
AENJPLPP_00044	2336	2339	2211	9590	10808	10280
AENJPLPP_00045	666	821	657	2513	3220	3001
AENJPLPP_00046	1088	1148	1051	3999	5251	4163
AENJPLPP_00047	969	1033	756	4066	4440	4244
AENJPLPP_00048	284	271	275	1125	1590	1146
AENJPLPP_00049	129	140	101	392	527	454
AENJPLPP_00050	200	188	165	495	577	520
AENJPLPP_00051	740	829	644	1922	1981	1937
AENJPLPP_00052	355	372	357	816	1049	933
AENJPLPP_00053	244	337	307	589	785	717
AENJPLPP_00054	24	22	24	67	55	53
AENJPLPP_00055	5	8	15	24	39	32
AENJPLPP_00056	1035	1024	942	2994	3848	3638
AENJPLPP_00057	114	135	121	382	531	446
AENJPLPP_00058	1204	1252	1119	495	616	506
AENJPLPP_00059	902	840	801	3441	3713	3736
AENJPLPP_00060	1774	1733	1524	1711	2049	1651
AENJPLPP_00061	168	169	127	128	139	119
AENJPLPP_00062	140	119	88	140	116	122
AENJPLPP_00063	167	195	175	131	172	175
AENJPLPP_00064	260	229	179	224	244	274
AENJPLPP_00065	610	608	529	716	771	755
AENJPLPP_00066	474	587	467	434	578	556
AENJPLPP_00067	524	570	488	393	564	553
AENJPLPP_00068	1267	1347	1178	1325	1563	1428
AENJPLPP_00069	94	102	68	104	102	111
AENJPLPP_00070	165	293	244	164	186	254
AENJPLPP_00071	39	48	43	22	46	37
AENJPLPP_00072	176	199	164	172	171	209
AENJPLPP_00073	310	270	252	283	325	299
AENJPLPP_00074	401	387	323	398	540	578
AENJPLPP_00075	1019	654	647	558	688	640
AENJPLPP_00076	245	192	174	129	189	176
AENJPLPP_00077	1194	1178	998	991	1184	1148
AENJPLPP_00078	2	5	3	4	6	4
AENJPLPP_00079	2	0	0	0	0	2
AENJPLPP_00080	3	4	2	10	8	7
AENJPLPP_00081	60	50	38	26	54	65
AENJPLPP_00082	43	33	36	46	49	65
AENJPLPP_00083	35	18	27	20	32	26
AENJPLPP_00084	43	41	40	48	47	48
AENJPLPP_00085	392	445	346	284	335	262
AENJPLPP_00086	6	17	19	4	28	16
AENJPLPP_00087	0	0	2	1	0	2
AENJPLPP_00088	83	93	73	27	33	32
AENJPLPP_00089	15	18	13	14	22	16
AENJPLPP_00090	135	154	124	56	63	68
AENJPLPP_00091	4	1	4	16	10	390
AENJPLPP_00092	31975	34275	28920	11321	13127	12524
AENJPLPP_00093	433	348	310	4002	3673	3510
AENJPLPP_00094	3201	4022	4079	385	516	443
AENJPLPP_00095	4426	4202	3826	507	656	560
AENJPLPP_00096	1077	1067	1001	11992	14463	13542
AENJPLPP_00097	631	656	581	790	953	767
AENJPLPP_00098	203	191	208	316	401	409
AENJPLPP_00099	386	391	363	508	614	512
AENJPLPP_00100	1375	1272	1165	550	653	612
AENJPLPP_00101	1311	1126	1032	515	646	545
AENJPLPP_00102	4566	3947	3242	855	1122	1001
AENJPLPP_00103	15800	13634	12033	2951	3625	3024
AENJPLPP_00104	3867	3282	3385	1909	2328	1799
AENJPLPP_00105	309	346	272	626	696	578
AENJPLPP_00106	1148	998	992	2442	2810	2501
AENJPLPP_00107	1945	2350	2541	9412	12436	9820
AENJPLPP_00108	10614	10683	9299	8390	8787	9066
AENJPLPP_00109	14766	15485	12402	10431	10901	11071
AENJPLPP_00110	4244	4390	3602	2260	2553	2472
AENJPLPP_00111	2489	2686	2617	537	566	470
AENJPLPP_00112	1625	1595	1708	419	455	431
AENJPLPP_00113	4644	4440	3630	767	955	788
AENJPLPP_00114	10164	9694	8634	2140	2548	2173
AENJPLPP_00115	1471	1381	1201	424	506	506
AENJPLPP_00116	13825	15471	13076	6911	7666	8378
AENJPLPP_00117	8785	7933	6801	2122	2308	2388
AENJPLPP_00118	2387	1961	1905	371	411	390
AENJPLPP_00119	27229	28820	23972	187409	219476	204382
AENJPLPP_00120	38	43	26	20	39	40
AENJPLPP_00121	2	1	0	2	1	0
AENJPLPP_00122	62	47	52	26	42	46
AENJPLPP_00123	2955	3204	2935	2503	2689	2601
AENJPLPP_00124	99207	108550	101793	12379	14669	12708
AENJPLPP_00125	124280	119060	104475	21832	24253	22135
AENJPLPP_00126	15919	14920	12554	4456	5505	4808
AENJPLPP_00127	9097	7660	7201	6455	7441	6561
AENJPLPP_00128	6541	6822	6183	2247	2620	2357
AENJPLPP_00129	2024	2138	2169	810	1071	959
AENJPLPP_00130	11099	9712	9052	5638	6700	5870
AENJPLPP_00131	30128	26392	23103	16238	17770	16191
AENJPLPP_00132	23113	22820	20508	13885	16107	14407
AENJPLPP_00133	11362	12510	11527	2438	2840	2583
AENJPLPP_00134	29225	30320	27764	7602	8509	7870
AENJPLPP_00135	6454	6136	5752	1663	2177	1904
AENJPLPP_00136	11458	9926	8522	2849	3105	3099
AENJPLPP_00137	46358	43275	40915	18912	21021	19714
AENJPLPP_00138	15387	17304	13582	9690	11717	10965
AENJPLPP_00139	421	433	348	1775	2064	1889
AENJPLPP_00140	1520	1490	1325	7483	8166	7628
AENJPLPP_00141	639	743	590	3451	3980	3604
AENJPLPP_00142	2117	1718	1550	565	658	695
AENJPLPP_00143	3401	3172	2938	671	817	874
AENJPLPP_00144	2131	1993	2026	10438	12370	10692
AENJPLPP_00145	1277	1159	1128	8862	9949	9031
AENJPLPP_00146	116	131	142	746	826	769
AENJPLPP_00147	176	253	198	723	829	745
AENJPLPP_00148	130	146	139	107	106	99
AENJPLPP_00149	457	548	459	529	683	609
AENJPLPP_00150	1058	1218	1036	1017	1096	1139
AENJPLPP_00151	350	349	299	3098	2926	3279
AENJPLPP_00152	295	221	216	107	139	179
AENJPLPP_00153	1942	1631	1413	1580	1930	1628
AENJPLPP_00154	14484	15771	14014	2653	3028	2920
AENJPLPP_00155	15005	15384	13953	2976	3048	2932
AENJPLPP_00156	73644	78423	68884	23491	26509	24219
AENJPLPP_00157	16173	13100	11665	3727	4163	3867
AENJPLPP_00158	23	19	21	2	8	3
AENJPLPP_00159	40790	38816	35073	17655	20825	18314
AENJPLPP_00160	58933	60349	57199	24140	26965	26286
AENJPLPP_00161	4939	4961	4397	7633	8498	7872
AENJPLPP_00162	8646	8078	7171	13603	15997	14536
AENJPLPP_00163	16895	16774	15665	5793	6994	6136
AENJPLPP_00164	16699	17962	15211	6724	7611	6658
AENJPLPP_00165	5727	5825	5108	6927	7411	7003
AENJPLPP_00166	9536	10031	8828	10593	11852	10851
AENJPLPP_00167	4307	4566	4385	4597	5649	5102
AENJPLPP_00168	55	48	58	80	78	105
AENJPLPP_00169	76	85	84	104	145	124
AENJPLPP_00170	279	250	267	717	874	707
AENJPLPP_00171	0	1	4	6	10	9
AENJPLPP_00172	241	218	192	278	296	288
AENJPLPP_00173	56	39	50	366	360	444
AENJPLPP_00174	61	53	45	441	538	457
AENJPLPP_00175	39	42	27	189	202	215
AENJPLPP_00176	2889	2950	2412	4470	4887	4639
AENJPLPP_00177	14802	12709	12001	9443	10562	9677
AENJPLPP_00178	6980	5740	5348	9999	12306	11186
AENJPLPP_00179	18385	16356	14648	26307	27972	25841
AENJPLPP_00180	21327	18485	16194	25753	30066	27818
AENJPLPP_00181	37408	37402	34610	12899	15108	15636
AENJPLPP_00182	1669	1478	1483	1660	1920	1660
AENJPLPP_00183	5882	5337	4817	9583	10854	9980
AENJPLPP_00184	2261	2187	1994	3469	4631	4089
AENJPLPP_00185	1845	1844	1731	702	756	709
AENJPLPP_00186	87544	90766	80836	16252	19248	17633
AENJPLPP_00187	50209	50072	43309	36631	42843	41899
AENJPLPP_00188	9815	9350	8457	4393	5054	4559
AENJPLPP_00189	1432	1303	1195	8816	9636	9145
AENJPLPP_00190	80	88	77	2609	2803	2559
AENJPLPP_00191	36	43	42	540	441	525
AENJPLPP_00192	23406	24663	19688	417	505	472
