TA_site	BHI	Serum	HSerum
tig00000001:10-12	0	0	0
tig00000001:15-17	0	0	0
tig00000001:35-37	0	0	0
tig00000001:50-52	0	0	0
tig00000001:53-55	0	0	0
tig00000001:61-63	0	0	0
tig00000001:75-77	0	0	0
tig00000001:84-86	0	0	0
tig00000001:93-95	0	0	0
tig00000001:106-108	0	0	0
tig00000001:121-123	0	0	0
tig00000001:130-132	0	0	0
tig00000001:137-139	0	0	0
tig00000001:145-147	0	0	0
tig00000001:177-179	0	0	0
tig00000001:189-191	0	0	0
tig00000001:202-204	0	0	0
tig00000001:206-208	0	0	0
tig00000001:222-224	0	0	0
tig00000001:235-237	0	0	0
tig00000001:252-254	0	0	0
tig00000001:259-261	0	0	0
tig00000001:264-266	0	0	0
tig00000001:277-279	0	0	0
tig00000001:284-286	0	0	0
tig00000001:288-290	0	0	0
tig00000001:293-295	0	0	0
tig00000001:313-315	0	0	0
tig00000001:317-319	0	0	0
tig00000001:327-329	0	0	0
tig00000001:343-345	0	0	0
tig00000001:351-353	0	0	0
tig00000001:363-365	0	0	0
tig00000001:365-367	0	0	0
tig00000001:374-376	0	0	0
tig00000001:377-379	0	0	0
tig00000001:379-381	0	0	0
tig00000001:384-386	0	0	0
tig00000001:386-388	0	0	0
tig00000001:390-392	0	0	0
tig00000001:398-400	0	0	0
tig00000001:401-403	0	0	0
tig00000001:411-413	0	0	0
tig00000001:414-416	0	0	0
tig00000001:417-419	0	0	0
tig00000001:422-424	0	0	0
tig00000001:429-431	0	0	0
tig00000001:438-440	0	0	0
tig00000001:440-442	0	0	0
tig00000001:444-446	0	0	0
tig00000001:453-455	0	0	0
tig00000001:470-472	0	0	0
tig00000001:479-481	0	0	0
tig00000001:483-485	0	0	0
tig00000001:488-490	0	0	0
tig00000001:493-495	0	0	0
tig00000001:500-502	0	0	0
tig00000001:502-504	0	0	0
tig00000001:524-526	0	0	0
tig00000001:526-528	0	0	0
tig00000001:535-537	0	0	0
tig00000001:541-543	0	0	0
tig00000001:584-586	0	0	0
tig00000001:598-600	0	0	0
tig00000001:638-640	0	0	0
tig00000001:643-645	0	0	0
tig00000001:650-652	0	0	0
tig00000001:653-655	0	0	0
